timestamp,direction,entry_price,horizon,mfe,mae,ratio,favorable,symbol,threshold
2025-06-01 06:20:00,bearish,154.75,10,0.45234248788367604,-0.31017770597737626,0.6857142857142822,False,SOL,0.1
2025-06-01 06:20:00,bearish,154.75,20,0.45234248788367604,-0.3941841680129328,0.8714285714286049,False,SOL,0.1
2025-06-01 06:20:00,bearish,154.75,30,0.45234248788367604,-1.0403877221324804,2.3000000000000567,True,SOL,0.1
2025-06-01 06:20:00,bearish,154.75,50,0.45234248788367604,-2.5460420032310163,5.628571428571516,True,SOL,0.1
2025-06-01 06:20:00,bearish,154.75,100,0.45234248788367604,-2.688206785137316,5.9428571428572345,True,SOL,0.1
2025-06-01 06:25:00,bearish,155.0,10,0.2903225806451539,-0.4709677419354773,1.6222222222222407,False,SOL,0.1
2025-06-01 06:25:00,bearish,155.0,20,0.2903225806451539,-0.5548387096774281,1.9111111111111898,False,SOL,0.1
2025-06-01 06:25:00,bearish,155.0,30,0.2903225806451539,-1.2774193548387032,4.400000000000089,True,SOL,0.1
2025-06-01 06:25:00,bearish,155.0,50,0.2903225806451539,-2.7032258064516115,9.311111111111343,True,SOL,0.1
2025-06-01 06:25:00,bearish,155.0,100,0.2903225806451539,-2.8451612903225785,9.80000000000024,True,SOL,0.1
2025-06-04 08:20:00,bullish,157.12,10,0.05091649694500005,-0.2927698574338136,0.17391304347822326,False,SOL,0.1
2025-06-04 08:20:00,bullish,157.12,20,0.43279022403259093,-0.5537169042769886,0.7816091954023027,False,SOL,0.1
2025-06-04 08:20:00,bullish,157.12,30,0.509164969450091,-0.5537169042769886,0.9195402298850333,False,SOL,0.1
2025-06-04 08:20:00,bullish,157.12,50,0.509164969450091,-1.1774439918533568,0.43243243243242463,False,SOL,0.1
2025-06-04 08:20:00,bullish,157.12,100,0.5409877800407296,-1.616598778004068,0.33464566929133743,False,SOL,0.1
2025-06-04 08:25:00,bullish,156.87,10,0.2103652706062243,-0.17211703958692562,1.222222222222117,False,SOL,0.1
2025-06-04 08:25:00,bullish,156.87,20,0.5928475807993924,-0.39523172053292827,1.5,False,SOL,0.1
2025-06-04 08:25:00,bullish,156.87,30,0.6693440428380079,-0.39523172053292827,1.6935483870967343,False,SOL,0.1
2025-06-04 08:25:00,bullish,156.87,50,0.6693440428380079,-1.102823994390271,0.606936416184955,False,SOL,0.1
2025-06-04 08:25:00,bullish,156.87,100,0.7012175686874446,-1.4598074839038644,0.4803493449781651,False,SOL,0.1
2025-06-05 05:05:00,bullish,153.79,10,0.18206645425580412,-1.228948566226664,0.1481481481481498,False,SOL,0.1
2025-06-05 05:05:00,bullish,153.79,20,0.18206645425580412,-1.228948566226664,0.1481481481481498,False,SOL,0.1
2025-06-05 05:05:00,bullish,153.79,30,0.18206645425580412,-1.228948566226664,0.1481481481481498,False,SOL,0.1
2025-06-05 05:05:00,bullish,153.79,50,0.18206645425580412,-1.326484166720848,0.1372549019607854,False,SOL,0.1
2025-06-05 05:05:00,bullish,153.79,100,0.4031471487092818,-1.6320957149359459,0.24701195219123773,False,SOL,0.1
2025-06-05 10:00:00,bullish,152.98,10,0.039220813178194716,-0.9935939338475499,0.039473684210528284,False,SOL,0.1
2025-06-05 10:00:00,bullish,152.98,20,0.039220813178194716,-1.1112563733821341,0.0352941176470604,False,SOL,0.1
2025-06-05 10:00:00,bullish,152.98,30,0.4510393515492207,-1.1112563733821341,0.40588235294117786,False,SOL,0.1
2025-06-05 10:00:00,bullish,152.98,50,0.9347627140802764,-2.0656294940515076,0.45253164556962294,False,SOL,0.1
2025-06-05 10:00:00,bullish,152.98,100,0.9347627140802764,-3.065760230095436,0.30490405117270947,False,SOL,0.1
2025-06-06 23:10:00,bearish,147.99,10,0.20947361308196652,-0.20947361308196652,1.0,False,SOL,0.1
2025-06-06 23:10:00,bearish,147.99,20,0.22974525305764132,-0.7770795324008417,3.3823529411764537,True,SOL,0.1
2025-06-06 23:10:00,bearish,147.99,30,0.6149064125954433,-0.7770795324008417,1.2637362637362748,False,SOL,0.1
2025-06-06 23:10:00,bearish,147.99,50,0.6216636259206618,-0.7770795324008417,1.2500000000000233,False,SOL,0.1
2025-06-06 23:10:00,bearish,147.99,100,3.21643354280694,-0.7770795324008417,0.24159663865546385,False,SOL,0.1
2025-06-06 23:55:00,bearish,147.83,10,0.3382263410674423,-0.669688155313542,1.9800000000000184,False,SOL,0.1
2025-06-06 23:55:00,bearish,147.83,20,0.723804369884322,-0.669688155313542,0.9252336448598275,False,SOL,0.1
2025-06-06 23:55:00,bearish,147.83,30,0.723804369884322,-0.669688155313542,0.9252336448598275,False,SOL,0.1
2025-06-06 23:55:00,bearish,147.83,50,1.27173104241358,-0.669688155313542,0.5265957446808572,False,SOL,0.1
2025-06-06 23:55:00,bearish,147.83,100,3.389027937495766,-0.669688155313542,0.19760479041916384,False,SOL,0.1
2025-06-07 00:05:00,bearish,147.52,10,0.6710954446854532,-0.46095444685466835,0.6868686868687072,False,SOL,0.1
2025-06-07 00:05:00,bearish,147.52,20,0.935466377440344,-0.46095444685466835,0.4927536231884123,False,SOL,0.1
2025-06-07 00:05:00,bearish,147.52,30,0.935466377440344,-0.46095444685466835,0.4927536231884123,False,SOL,0.1
2025-06-07 00:05:00,bearish,147.52,50,1.4845444685466362,-0.46095444685466835,0.31050228310502626,False,SOL,0.1
2025-06-07 00:05:00,bearish,147.52,100,3.606290672451188,-0.46095444685466835,0.1278195488721819,False,SOL,0.1
2025-06-07 00:10:00,bearish,147.23,10,1.0052299123819999,-0.26489166610064957,0.263513513513501,False,SOL,0.1
2025-06-07 00:10:00,bearish,147.23,20,1.1342796984310373,-0.26489166610064957,0.2335329341317261,False,SOL,0.1
2025-06-07 00:10:00,bearish,147.23,30,1.1342796984310373,-0.26489166610064957,0.2335329341317261,False,SOL,0.1
2025-06-07 00:10:00,bearish,147.23,50,1.6844393126400994,-0.26489166610064957,0.15725806451612237,False,SOL,0.1
2025-06-07 00:10:00,bearish,147.23,100,3.8103647354479477,-0.26489166610064957,0.06951871657753751,False,SOL,0.1
2025-06-07 00:15:00,bearish,147.1,10,1.223657375934746,-0.17675050985723378,0.14444444444443846,False,SOL,0.1
2025-06-07 00:15:00,bearish,147.1,20,1.223657375934746,-0.17675050985723378,0.14444444444443846,False,SOL,0.1
2025-06-07 00:15:00,bearish,147.1,30,1.223657375934746,-0.17675050985723378,0.14444444444443846,False,SOL,0.1
2025-06-07 00:15:00,bearish,147.1,50,1.7743031951053798,-0.17675050985723378,0.09961685823754388,False,SOL,0.1
2025-06-07 00:15:00,bearish,147.1,100,3.9021074099252275,-0.17675050985723378,0.0452961672473851,False,SOL,0.1
2025-06-07 12:40:00,bullish,152.39,10,0.019686331124090253,-0.6168383752214698,0.03191489361702256,False,SOL,0.1
2025-06-07 12:40:00,bullish,152.39,20,0.019686331124090253,-0.6168383752214698,0.03191489361702256,False,SOL,0.1
