Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_y_true,Exit_y_true,Entry_forecast,Exit_forecast
-677,118,118,54846.23,53749.2956,55943.144400000005,53749.2956,727920.7546337638,14703.83416624,0.019604178717115207,2021-04-29,2021-04-29,0 days,,1.0,1.0,1.0,1.0
748,119,119,53555.0,54626.1,52483.9,54626.1,784998.9074399989,16183.89256,0.019596000000000016,2021-04-30,2021-04-30,0 days,,0.0,0.0,-1.0,-1.0
-749,120,121,57697.25,57797.35,58848.155399999996,56540.3846,-92275.99107999892,17301.091080000002,-0.002135265025629376,2021-05-01,2021-05-02,1 days,,-1.0,0.0,1.0,1.0
741,121,121,57797.35,56644.3626,56644.3626,58956.377400000005,-871323.9252073187,16960.26180732,-0.020344803741347957,2021-05-02,2021-05-02,0 days,,0.0,0.0,1.0,1.0
695,122,122,56578.21,57709.7742,55446.6458,57709.7742,770551.0891962005,15886.0298038,0.019596000000000016,2021-05-03,2021-05-03,0 days,,0.0,0.0,1.0,1.0
742,123,123,57169.39,56026.002199999995,56026.002199999995,58312.7778,-865191.943802483,16798.19620248,-0.02039600000000002,2021-05-04,2021-05-04,0 days,,1.0,1.0,0.0,0.0
-678,125,125,57436.11,56287.3878,58584.832200000004,56287.3878,763412.7452983225,15420.90630168,0.019604000000000017,2021-05-06,2021-05-06,0 days,,1.0,1.0,1.0,1.0
745,126,126,56393.68,55265.8064,55265.8064,57521.5536,-856903.0954735993,16637.2634736,-0.02039600000000002,2021-05-07,2021-05-07,0 days,,-1.0,-1.0,-1.0,-1.0
-673,127,127,57315.49,58461.045,58461.045,56168.455,-786542.0366110002,15583.521611,-0.020390828151342633,2021-05-08,2021-05-08,0 days,,-1.0,-1.0,1.0,1.0
602,128,128,58866.53,57684.809,57684.809,60039.291000000005,-725428.8232155986,14032.7812156,-0.020470567363151868,2021-05-09,2021-05-09,0 days,,-1.0,-1.0,1.0,1.0
559,129,129,58240.83,57076.023199999996,57076.023199999996,59405.6568,-664019.4253877632,12892.42418776,-0.020395831766820693,2021-05-10,2021-05-10,0 days,,-1.0,-1.0,1.0,1.0
536,130,130,55816.14,54699.8172,54699.8172,56932.4628,-610196.331411841,11847.31061184,-0.02039600000000002,2021-05-11,2021-05-11,0 days,,-1.0,-1.0,0.0,0.0
-554,132,132,49537.15,50623.9464,50623.9464,48638.6936,-613183.0550811196,11097.84948112,-0.022343405288354243,2021-05-13,2021-05-13,0 days,,-1.0,-1.0,0.0,0.0
-502,134,134,49844.16,48844.621,50838.278999999995,48844.621,491860.2243876022,9908.3536124,0.01965729272596839,2021-05-15,2021-05-15,0 days,,-1.0,-1.0,1.0,1.0
577,135,135,46762.99,45827.7302,45827.7302,47698.2498,-550329.8737110799,10684.969111080001,-0.02039600000000002,2021-05-16,2021-05-16,0 days,,-1.0,-1.0,1.0,1.0
534,136,136,46426.83,45502.87,45502.87,47360.13,-503212.73195999954,9818.091960000002,-0.020297443094865576,2021-05-17,2021-05-17,0 days,,-1.0,-1.0,-1.0,-1.0
-523,137,137,43538.02,44408.800800000005,44408.800800000005,42667.2792,-464617.595855684,9199.23745568,-0.02040446864969989,2021-05-18,2021-05-18,0 days,,-1.0,-1.0,0.0,0.0
-570,139,139,36671.23,37423.8918,37423.8918,35956.288199999995,-437464.0698851968,8446.8438852,-0.020928690539149933,2021-05-20,2021-05-20,0 days,,-1.0,-1.0,1.0,1.0
473,140,140,40525.39,39716.1072,39716.1072,41337.1728,-390381.6100351204,7590.84563512,-0.020365778082333093,2021-05-21,2021-05-21,0 days,,1.0,1.0,-1.0,-1.0
-472,141,141,37263.35,37997.050200000005,37997.050200000005,36506.9698,-353411.0761788831,7104.5817788800005,-0.02009353104431044,2021-05-22,2021-05-22,0 days,,1.0,1.0,1.0,1.0
432,142,142,37458.51,36700.735400000005,36700.735400000005,38198.7246,-333765.9860025587,6407.35880256,-0.020625658871108232,2021-05-23,2021-05-23,0 days,,1.0,1.0,1.0,1.0
428,143,143,34681.44,35348.355,33962.145,35348.355,279445.06954800035,5994.550452,0.018825891917982597,2021-05-24,2021-05-24,0 days,,0.0,0.0,1.0,1.0
411,144,144,38810.99,38020.3642,38020.3642,39572.2158,-331262.7411152377,6315.537315240001,-0.020767109286312875,2021-05-25,2021-05-25,0 days,,-1.0,-1.0,0.0,0.0
373,146,146,39241.92,38457.071800000005,38457.071800000005,40026.7482,-298544.72338827746,5796.344788280001,-0.02039624968299187,2021-05-27,2021-05-27,0 days,,-1.0,-1.0,0.0,0.0
-377,148,148,35661.79,36376.7598,36376.7598,34950.220199999996,-274975.32125491963,5431.706654920001,-0.020452633195361072,2021-05-29,2021-05-29,0 days,,1.0,1.0,1.0,1.0
357,149,149,34605.15,33913.047,33913.047,35297.253000000004,-251972.970265801,4892.1992658,-0.02039600000000013,2021-05-30,2021-05-30,0 days,,,,1.0,1.0
318,150,150,35641.26,34928.444599999995,34928.444599999995,36354.0954,-231163.53041256216,4488.2332125600005,-0.020395725092771915,2021-05-31,2021-05-31,0 days,,,,1.0,1.0
280,151,151,37253.82,36508.733799999995,36508.733799999995,37998.8862,-212754.83901280144,4130.7030128,-0.02039626300765953,2021-06-01,2021-06-01,0 days,,,,0.0,0.0
